,edad_kmeans,balance_kmeans,segmento,trabajo,estado civil,educación,hipoteca,edad,balance,depósito
0,1.5601187511288874,0.9187452045195988,4,profesional,casado,secundaria,sí,59,2343,sí
1,1.5601187511288874,0.9187452045195988,4,profesional,casado,secundaria,sí,59,2343,sí
2,1.300210584415755,-0.7918358070177776,4,profesional,casado,secundaria,no,56,45,sí
3,0.0006697508500929734,0.12002743890619376,1,profesional,casado,secundaria,sí,41,1270,sí
4,1.2135745288447108,1.0177474997913443,3,manual,casado,secundaria,sí,55,2476,sí
5,1.1269384732736667,-0.6883672427864045,4,profesional,casado,terciaria,no,54,184,sí
6,0.08730580642113711,-0.8253328242149847,5,profesional,soltero,terciaria,sí,42,0,sí
7,1.300210584415755,-0.207498951466498,4,profesional,casado,terciaria,sí,56,830,sí
8,1.6467548066999314,-0.4196467270488097,4,otro,divorciado,secundaria,sí,60,545,sí
9,-0.34587447143408356,-0.8245884460550468,1,profesional,casado,secundaria,sí,37,1,sí
10,-1.1255989715734807,2.1968425051330347,2,manual,soltero,secundaria,sí,28,5090,sí
11,-0.2592384158630394,-0.7508950082211912,5,profesional,soltero,secundaria,sí,38,100,sí
12,-0.9523268604313925,-0.5953199727941625,3,manual,casado,secundaria,sí,30,309,sí
13,-1.0389629160024365,-0.6772015703873355,1,profesional,casado,terciaria,sí,29,199,sí
14,0.43385002870531364,-0.4829188706435342,5,manual,soltero,terciaria,sí,46,460,sí
15,-0.8656908048603483,-0.3020349777786158,5,profesional,soltero,terciaria,sí,31,703,sí
16,-0.5191465825761719,2.030846175466875,2,profesional,divorciado,terciaria,sí,35,3837,sí
17,-0.7790547492893042,-0.3705177684929059,3,manual,soltero,primaria,sí,32,611,sí
18,0.693758195418446,-0.8312878494944882,3,manual,casado,secundaria,sí,49,-8,sí
19,0.0006697508500929734,-0.7843920254183983,1,profesional,casado,secundaria,sí,41,55,sí
20,0.693758195418446,-0.7002772933454114,1,profesional,divorciado,secundaria,sí,49,168,sí
21,-1.1255989715734807,-0.2409959686637051,5,profesional,divorciado,secundaria,sí,28,785,sí
22,0.17394186199218123,0.7132968323767286,5,profesional,soltero,terciaria,sí,43,2067,sí
23,0.17394186199218123,-0.5365140981590656,1,profesional,divorciado,terciaria,sí,43,388,sí
24,0.17394186199218123,-0.9682534309230684,3,manual,casado,primaria,sí,43,-192,sí
25,-0.34587447143408356,-0.5417247452786311,5,otro,soltero,secundaria,sí,37,381,sí
26,-0.5191465825761719,-0.7955576978174673,5,manual,soltero,secundaria,sí,35,40,sí
27,-0.8656908048603483,-0.8089565046963502,5,profesional,soltero,terciaria,sí,31,22,sí
28,0.17394186199218123,-0.8230996897351709,3,manual,soltero,secundaria,sí,43,3,sí
29,-0.8656908048603483,-0.5968087291140384,1,profesional,casado,secundaria,sí,31,307,sí
30,-1.1255989715734807,-0.2603498008220914,5,manual,soltero,secundaria,sí,28,759,sí
31,-0.7790547492893042,-0.8260772023749227,3,manual,casado,secundaria,sí,32,-1,sí
32,1.6467548066999314,-0.7769482438190188,4,profesional,casado,primaria,sí,60,65,sí
33,-1.298871082715569,-0.764293815100074,5,manual,soltero,secundaria,sí,26,82,sí
34,-0.08596630472095115,-0.8178890426156054,3,manual,casado,secundaria,sí,40,10,sí
35,-0.69241869371826,-0.5350253418391897,3,manual,divorciado,primaria,sí,33,390,sí
36,-0.7790547492893042,-0.5938312164742867,5,profesional,soltero,terciaria,no,32,311,sí
37,-0.5191465825761719,-0.5171602660006793,3,manual,casado,primaria,no,35,414,sí
38,-0.69241869371826,-0.821610933415295,1,profesional,divorciado,secundaria,sí,33,5,sí
39,-0.2592384158630394,-0.7367518231823703,1,profesional,casado,terciaria,sí,38,119,sí
40,-1.5587792494287014,-0.822355311575233,5,profesional,soltero,primaria,sí,23,4,sí
41,1.6467548066999314,0.11407241362669027,3,manual,casado,primaria,sí,60,1262,sí
42,0.6071221398474019,0.6254602095040521,1,profesional,casado,terciaria,sí,48,1949,sí
43,0.3472139731342695,-1.1193621973904693,1,profesional,divorciado,terciaria,sí,45,-395,sí
44,-0.43251052700512765,0.0418677321127105,3,manual,casado,secundaria,sí,36,1165,sí
45,-0.5191465825761719,-0.6020193762336039,3,manual,divorciado,primaria,sí,35,300,sí
46,0.17394186199218123,1.6199494311811347,2,profesional,casado,secundaria,sí,43,3285,sí
47,0.9536663621315784,2.0948626972215374,2,manual,casado,secundaria,sí,52,3923,sí
48,1.0403024177026226,0.24880486057545664,4,profesional,divorciado,primaria,sí,53,1443,sí
49,0.6071221398474019,-0.8074677483764743,3,manual,divorciado,primaria,sí,48,24,sí
50,0.0006697508500929734,0.3790710385645954,3,manual,soltero,primaria,sí,41,1618,sí
51,-0.1726023602919953,-0.4404893155270719,1,profesional,divorciado,terciaria,sí,39,517,sí
52,1.5601187511288874,0.30686635705061566,4,otro,casado,secundaria,sí,59,1521,sí
53,0.0006697508500929734,1.2760467212898081,3,manual,casado,secundaria,sí,41,2823,sí
54,0.6071221398474019,0.2205184904978151,3,manual,casado,secundaria,sí,48,1405,sí
55,-0.08596630472095115,0.31728765128974673,1,profesional,casado,secundaria,sí,40,1535,sí
56,0.6071221398474019,0.36269471904596084,3,manual,casado,secundaria,sí,48,1596,sí
57,1.6467548066999314,0.3224982984093123,4,otro,casado,primaria,sí,60,1542,sí
58,1.3868466399867991,-0.8260772023749227,4,profesional,casado,terciaria,no,57,-1,sí
59,0.8670303065605343,2.1968425051330347,2,manual,casado,secundaria,sí,51,7180,sí
60,0.0006697508500929734,2.1968425051330347,2,manual,divorciado,secundaria,sí,41,5291,sí
61,0.0006697508500929734,0.20488654913911844,3,manual,casado,secundaria,sí,41,1384,sí
62,0.9536663621315784,-0.9675090527631305,3,manual,divorciado,primaria,sí,52,-191,sí
63,1.5601187511288874,-0.5871318130348453,3,manual,casado,primaria,sí,59,320,sí
64,0.693758195418446,-0.5714998716761486,3,otro,casado,primaria,sí,49,341,sí
65,-0.08596630472095115,-0.8320322276544261,3,manual,casado,primaria,sí,40,-9,sí
66,0.0006697508500929734,-1.053112541155993,1,profesional,casado,primaria,sí,41,-306,sí
67,0.26057791756322535,2.1968425051330347,2,profesional,casado,terciaria,sí,44,4580,sí
68,1.6467548066999314,-0.5923424601544108,3,manual,soltero,primaria,sí,60,313,sí
69,-1.0389629160024365,2.1968425051330347,2,profesional,casado,terciaria,no,29,10576,sí
70,0.0006697508500929734,-0.9987729354805237,3,otro,divorciado,primaria,sí,41,-233,sí
71,0.0006697508500929734,1.0006268021127718,3,manual,casado,primaria,sí,41,2453,sí
72,0.08730580642113711,0.18999898594035972,5,profesional,soltero,secundaria,sí,42,1364,sí
73,-0.1726023602919953,-0.7553612771808187,1,profesional,casado,terciaria,sí,39,94,sí
74,-0.8656908048603483,-0.7181423691839219,5,profesional,soltero,terciaria,sí,31,144,sí
